handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2,brand
product_38d1ef4e-f1a5-2683-b320-72ab67288485,Product,Aurora,"<ul>	<li>Wide brim fedora hat covered with a round elastic pearl band.</li>	<li>Timeless fashionable hat.</li>	<li>Material:65% Cotton + 35%polyester.</li>	<li>Sizes— M:US:7-7 1/4(56-58CM/22-22.8”)</li>	<li>L: US:7 1/4-7 1/2(58-60CM/22.8-23.6"")</li></ul>",b77b32_5821710500ff49d796256d9b9b0e7790~mv2.png;b77b32_5c498c5fe67340128261fa995843536c~mv2.jpg;b77b32_12a261a04d6341d1bc9e7b8e6f6d4f66~mv2.jpg;b77b32_7baf35c9fe3245a7b31141cf8fe1123e~mv2.jpg;b77b32_ae9a26d3dbc8405d828e0b2068ee2744~mv2.jpg;b77b32_c4a1adc19b704b4c971c02784b3342b8~mv2.jpg;b77b32_279fff1735354fac86d5b6698cc86f03~mv2.jpg,Hat Essentials by Kate,,New Arrival,45.0,,true,PERCENT,0.0,InStock,0.0,Colour,COLOR,"#ffc0cb:Pink;#ffff00:Yellow;#000000:Black;#ff0000:Red;#f0e68c:Khaki;#ffffff:White",Size,DROP_DOWN,"56-58CM/22-22.8”;58-60CM/22.8-23.6""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kate's Essentials
product_aa8f058b-311e-1627-c1b5-887e450b629f,Product,Dangerous Summer,<p>A beautiful beach hat!</p><p>Description:</p><ul>	<li>straw</li>	<li>Khaki colored</li>	<li>bohemian</li>	<li>plain</li>	<li>size: 22.5 cm</li></ul>,b77b32_5179ac18d93847e69d94e93d06354e83~mv2.png;b77b32_b52141bfdfa94321b304f45c7a2b5930~mv2.png,Hat Essentials by Kate,,,30.0,,true,PERCENT,0.0,InStock,0.0,Custom Initials,DROP_DOWN,No;Yes,,,,,,,,,,,,,,,,Shipping & Handling,"<p>Due to the novel coronavirus 19, shipping might be delayed depending on where it is shipped to. Shipping takes 1-2 weeks.</p>
",,,,,,,,,,,Which initials or name would you like on the hat?,500,false,,,,Kate's Essentials
product_aa8f058b-311e-1627-c1b5-887e450b629f,Variant,,,,,,,,30.0,true,,,InStock,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_4ecd7068-c8c0-a53b-692a-5228b8020812,Product,Smoking Dove,<p>A beautiful wide brim hat!</p><p>Description:</p><ul>	<li>oversized</li>	<li>orange&nbsp;colored</li>	<li>straw</li>	<li>bohemian</li>	<li>plain</li>	<li>size: 22.5 cm</li></ul>,b77b32_0dfb1e469b6e454faa538805e4b94b5a~mv2.jpg;b77b32_c894a4ecc6c849deaf130ffc3bbe8f84~mv2.png,Hat Essentials by Kate,,,50.0,,true,PERCENT,0.0,InStock,0.0,Custom Initials,DROP_DOWN,No;Yes,,,,,,,,,,,,,,,,Shipping & Handling,"<p>Due to the novel coronavirus 19, shipping might be delayed depending on where it is shipped to. Shipping takes 1-2 weeks.</p>
",,,,,,,,,,,Which initials or name would you like on the hat?,500,false,,,,Kate's Essentials
product_4ecd7068-c8c0-a53b-692a-5228b8020812,Variant,,,,,,,,30.0,true,,,InStock,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_debe9c2f-7630-1ae6-4ee4-54713202efb8,Product,Tiki,<p>A beautiful beach hat!</p><p>Description:</p><ul>	<li>straw</li>	<li>Khaki colored</li>	<li>bohemian</li>	<li>plain</li>	<li>size: 23.5 cm</li></ul>,b77b32_efcf51511bf740e297baef8ed7498ab4~mv2.jpeg;b77b32_f384b455dfe34f999b7c5fb580003fc2~mv2.png;b77b32_9f04b9af61ff45df8b089915fb7a5270~mv2.png,Hat Essentials by Kate,,,25.0,,true,PERCENT,0.0,InStock,0.0,Custom Initials,DROP_DOWN,No;Yes,,,,,,,,,,,,,,,,Shipping & Handling,"<p>Due to the novel coronavirus 19, shipping might be delayed depending on where it is shipped to. Shipping takes 1-2 weeks.</p>
",,,,,,,,,,,Which initials or name would you like on the hat?,500,false,,,,Kate's Essentials
product_debe9c2f-7630-1ae6-4ee4-54713202efb8,Variant,,,,,,,,30.0,true,,,InStock,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_4cce5043-4419-56ea-997d-94d48c32f5de,Product,Naked Mile,<p>A beautiful beach hat!</p><p>Description:</p><ul>	<li>straw</li>	<li>Khaki colored</li>	<li>bohemian</li>	<li>plain</li>	<li>size: 22.5 cm</li></ul>,b77b32_b8d98cf8bdbf41e5aa1fe06e82cd5b63~mv2.png;b77b32_680997bcdb3a4f5dabe1cd5ded68d63c~mv2.png;b77b32_f21e7a00c99b457eaa3b1a059798febf~mv2.png,Hat Essentials by Kate,,,35.0,,true,PERCENT,0.0,InStock,0.0,Custom Initials,DROP_DOWN,No;Yes,,,,,,,,,,,,,,,,Shipping & Handling,"<p>Due to the novel coronavirus 19, shipping might be delayed depending on where it is shipped to. Shipping takes 1-2 weeks.</p>
",,,,,,,,,,,Which initials or name would you like on the hat?,500,false,,,,Kate's Essentials
product_4cce5043-4419-56ea-997d-94d48c32f5de,Variant,,,,,,,,30.0,true,,,InStock,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_866c9e02-8537-c1cd-f5ee-2df708c29b64,Product,Magic,<p>A beautiful beach hat!</p><p>Description:</p><ul>	<li>straw</li>	<li>Khaki colored</li>	<li>bohemian</li>	<li>plain</li>	<li>size: 23.5 cm</li></ul>,b77b32_889da5cb1ecb458eb8cb8ecab015aef8~mv2.jpg;b77b32_d9b7cb0cb41340a1b1d34f8756bbcdad~mv2.png;b77b32_e224410d0f554743a3472e24e2c12546~mv2.png;b77b32_d1c7c8718ed24fee99a80011d4e5b156~mv2.png,Hat Essentials by Kate,,,30.0,,true,PERCENT,0.0,InStock,0.0,Custom Initials,DROP_DOWN,No;Yes,,,,,,,,,,,,,,,,Shipping & Handling,"<p>Due to the novel coronavirus 19, shipping might be delayed depending on where it is shipped to. Shipping takes 1-2 weeks.</p>
",,,,,,,,,,,Which initials or name would you like on the hat?,500,false,,,,Kate's Essentials
